DISTRICT,SUB-DISTRICTS,STATE,AREA-KM2,POPULATION,LITERACY-PCT
West Godavari,Mandals,Andhra Pradesh,7742,3936966,74.63
West Kameng,Circles,Arunachal Pradesh,7422,83947,67.07
West Khasi Hills,Blocks,Meghalaya,5247,383461,77.87
West Siang,Circles,Arunachal Pradesh,8325,112274,66.46
West Tripura,Blocks,Tripura,2993,1725739,88.69
Wokha,Circles,Nagaland,1628,166343,87.69
Yadgir,Talukas,Karnataka,5270,1174271,51.83
Yamunanagar,Tehsils,Hariyana,1768,1214205,77.99
Yanam,Commune Panchayats,Puducherry,30,55626,79.47
Yavatmal,Talukas,Maharashtra,13582,2772348,82.82
YSR,Mandals,Andhra Pradesh,15359,2882469,67.3
Zunheboto,Circles,Nagaland,1255,140757,85.26
